size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.268375 0.270123
2 0.438098 0.438451
3 0.657534 0.657605
4 1.0117 1.01152
5 1.26334 1.26501
6 1.50191 1.50517
7 1.77049 1.77109
8 2.02312 2.0235
9 2.27692 2.27793
10 2.52981 2.52909
11 2.78264 2.76753
12 3.03631 3.03617
13 3.2887 3.28998
14 3.52964 3.54099
15 3.79559 3.79622
16 5.26225 5.25907
17 5.58883 5.5855
18 5.91904 5.91968
19 6.25089 6.24925
20 6.57787 6.5777
21 6.90914 6.90668
22 7.23757 7.2365
23 7.56582 7.56678
24 7.89733 7.89667
25 8.22428 8.22445
26 8.55484 8.55411
27 8.87938 8.88163
28 9.20859 9.20608
29 9.54038 9.53872
30 9.86543 9.86987
31 10.193 10.1732
32 10.528 10.4925
33 8.34906 8.3457
34 8.60208 8.60546
35 8.85822 8.85802
36 9.11254 9.11273
37 9.36282 9.36414
38 9.61522 9.60991
39 9.86801 9.86574
40 10.1229 10.1244
41 10.3745 10.3753
42 10.6296 10.6262
43 10.8807 10.8826
44 11.1362 11.1367
45 11.3733 11.3753
46 11.6424 11.6378
47 11.8938 11.8927
48 12.1405 12.1331
49 12.395 12.4042
50 12.6545 12.6535
51 12.8916 12.9016
52 13.1614 13.1659
53 13.4139 13.4167
54 13.6609 13.6514
55 13.9166 13.9162
56 14.1613 14.1586
57 14.4124 14.4028
58 14.6747 14.6767
59 14.9245 14.9302
60 15.1733 15.1844
61 15.4285 15.4074
62 15.687 15.6805
63 15.9214 15.9523
64 16.1939 16.1654
65 11.8761 11.8821
66 12.0595 12.0466
67 12.2406 12.2424
68 12.4298 12.4313
69 12.5984 12.5804
70 12.7658 12.7659
71 12.9708 12.9674
72 13.1403 13.1573
73 13.3073 13.3119
74 13.5213 13.5191
75 13.6867 13.6991
76 13.8822 13.8848
77 14.0624 14.0676
78 14.2557 14.254
79 14.4357 14.4184
80 14.6136 14.6134
81 14.8006 14.8019
82 14.9891 14.9772
83 15.1667 15.1625
84 15.3439 15.343
85 15.5118 15.5218
86 15.7082 15.7132
87 15.8983 15.9004
88 16.0653 16.0666
89 16.2732 16.2676
90 16.4487 16.4485
91 16.6322 16.6193
92 16.8159 16.8236
93 16.9732 16.9828
94 17.1626 17.1805
95 17.3504 17.3469
96 17.5548 17.5485
97 18.2436 18.2188
98 18.4265 18.4334
99 18.6226 18.5814
100 18.7823 18.7942
101 18.966 18.9547
102 19.1895 19.1851
103 19.37 19.3494
104 19.5641 19.5657
105 19.7475 19.7521
106 19.9365 19.9227
107 20.1307 20.1261
108 20.3074 20.2997
109 20.4884 20.4876
110 20.681 20.703
111 20.8616 20.8682
112 21.0566 21.0613
113 21.8708 21.8607
114 22.0625 22.0555
115 22.2483 22.2412
116 22.4228 22.4336
117 22.6351 22.6309
118 22.8252 22.8299
119 23.0253 23.0128
120 23.2362 23.2302
121 23.3932 23.3838
122 23.5755 23.5974
123 23.8198 23.745
124 23.9819 23.9627
125 24.1921 24.1283
126 24.3195 24.3346
127 24.5299 24.5421
128 24.7411 24.7775
129 24.9444 24.9507
130 25.1306 25.121
131 25.3166 25.2853
132 25.5573 25.5514
133 25.7464 25.7443
134 25.9426 25.909
135 26.126 26.1367
136 26.3283 26.3298
137 26.5209 26.5318
138 26.6372 26.6684
139 26.8603 26.8676
140 27.0739 27.0665
141 27.2883 27.2592
142 27.456 27.4284
143 27.6431 27.6486
144 27.8404 27.8689
145 28.0116 28.0241
146 28.2429 28.2439
147 28.3227 28.3643
148 28.583 28.5989
149 28.7787 28.7915
150 29.0271 28.9987
151 29.1944 29.1842
152 29.4314 29.4234
153 29.569 29.5622
154 29.7629 29.7681
155 29.9371 29.9453
156 30.1768 30.1748
157 30.3679 30.3725
158 30.5351 30.5554
159 30.7231 30.6972
160 30.9049 30.9139
161 28.2646 28.2457
162 28.4558 28.4353
163 28.597 28.6024
164 28.7968 28.7877
165 28.9386 28.9577
166 29.1329 29.1339
167 29.311 29.3154
168 29.504 29.4987
