size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
169 29.5601 29.4464
170 29.7634 29.785
171 29.9446 29.9387
172 30.1869 30.1491
173 30.3706 30.3566
174 30.5484 30.5459
175 30.6726 30.7042
176 30.8427 30.845
177 27.8936 27.8925
178 28.0137 28.0479
179 28.1974 28.196
180 28.3469 28.3528
181 28.5061 28.4849
182 28.6647 28.6599
183 28.8105 28.8178
184 28.9544 28.9307
185 29.1323 29.1319
186 29.2881 29.2919
187 29.4517 29.4072
188 29.5728 29.5512
189 29.7844 29.7891
190 29.9534 29.9528
191 30.1201 30.0918
192 30.126 30.1272
193 30.3974 30.3962
194 30.5339 30.5638
195 30.7433 30.7413
196 30.9143 30.9186
197 31.0095 30.9927
198 31.1987 31.1945
199 31.3843 31.3835
200 31.4555 31.2802
201 31.671 31.666
202 31.8395 31.8433
203 31.9338 31.9558
204 32.1517 32.1524
205 32.2726 32.2629
206 32.4205 32.3883
207 32.5976 32.5893
208 32.6468 32.6505
209 32.9314 32.9501
210 33.0566 33.0586
211 33.2539 33.2626
212 33.3706 33.342
213 33.5821 33.5818
214 33.6874 33.6839
215 33.9039 33.8721
216 34.0211 34.0207
217 34.1048 33.9496
218 34.2754 34.3518
219 34.4301 34.4688
220 34.6832 34.6815
221 34.8072 34.8042
222 34.8925 34.8162
223 35.1247 35.1339
224 35.1595 35.1544
225 26.479 26.465
226 26.5831 26.581
227 26.6661 26.6665
228 26.7633 26.7779
229 26.937 26.9393
230 27.0478 27.0447
231 27.1348 27.1381
232 27.2951 27.2938
233 27.4013 27.4063
234 27.485 27.5077
235 27.6208 27.6106
236 27.7205 27.7136
237 27.8606 27.8249
238 27.9515 27.956
239 28.0951 28.0864
240 28.1123 28.139
241 18.6894 18.6893
242 18.7803 18.769
243 18.8464 18.8109
244 18.9154 18.8777
245 19.008 18.9601
246 18.8266 18.7299
247 18.9461 18.7946
248 19.2251 19.1497
249 19.3068 19.2086
250 19.3639 19.2539
251 19.4694 19.3389
252 19.5422 19.4029
253 19.6113 19.4563
254 19.711 19.5418
255 19.7823 19.5987
256 19.4879 19.2485
500 40.3951 40.3961
700 43.6198 43.6545
3434 33.9451 34.0109
7128 34.9127 34.917
13908 35.4029 35.3983
16343 35.2599 35.2165
27897 35.6616 35.6582
32344 35.7024 35.6303
46830 33.1015 33.0932
64349 33.2585 33.2843
gdc -O3 -m64 benchmarks.d Dmemset.d -o benchmarks
./benchmarks
