size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.261985 0.265331
2 0.438743 0.438493
3 0.657679 0.651254
4 1.01231 1.01117
5 1.26508 1.26548
6 1.51584 1.51635
7 1.77119 1.77181
8 2.02439 2.0226
9 2.26893 2.27326
10 2.52896 2.52967
11 2.78397 2.77974
12 3.03637 3.03647
13 3.29046 3.29019
14 3.5416 3.54324
15 3.79529 3.79706
16 5.26427 5.26426
17 5.59223 5.59218
18 5.92155 5.92156
19 6.24985 6.25219
20 6.5771 6.57952
21 6.90862 6.90949
22 7.23812 7.23815
23 7.56684 7.56733
24 7.89806 7.89821
25 8.22672 8.22716
26 8.55514 8.55483
27 8.88226 8.88228
28 9.2104 9.2099
29 9.53585 9.54064
30 9.84958 9.86863
31 10.1958 10.1958
32 10.5234 10.5271
33 8.34678 8.34008
34 8.60574 8.60422
35 8.8591 8.85911
36 9.11357 9.11409
37 9.36579 9.36613
38 9.61267 9.61565
39 9.86797 9.86954
40 10.1263 10.1265
41 10.3769 10.3766
42 10.6295 10.6287
43 10.8835 10.8836
44 11.1379 11.1383
45 11.3901 11.392
46 11.6453 11.6448
47 11.8957 11.8961
48 12.144 12.1436
49 12.4044 12.4022
50 12.6577 12.6582
51 12.9032 12.9064
52 13.1632 13.1665
53 13.4186 13.4191
54 13.6616 13.6652
55 13.9188 13.9193
56 14.1636 14.1631
57 14.4164 14.4164
58 14.668 14.6734
59 14.9285 14.9312
60 15.189 15.1882
61 15.4351 15.4353
62 15.6894 15.6896
63 15.9416 15.9523
64 16.2008 16.1483
65 11.8821 11.883
66 12.0602 12.0594
67 12.2337 12.2434
68 12.4329 12.4327
69 12.6111 12.6098
70 12.7973 12.7959
71 12.9712 12.9712
72 13.158 13.1668
73 13.3337 13.3341
74 13.523 13.5229
75 13.6999 13.7007
76 13.8794 13.8776
77 14.0658 14.069
78 14.26 14.2592
79 14.4342 14.4354
80 14.6176 14.6171
81 14.8034 14.8033
82 14.9935 14.9888
83 15.1666 15.1672
84 15.3446 15.3468
85 15.5269 15.5252
86 15.7126 15.7128
87 15.9036 15.904
88 16.0732 16.0722
89 16.274 16.2735
90 16.4527 16.4523
91 16.6303 16.6356
92 16.8213 16.8219
93 16.987 16.9877
94 17.1817 17.181
95 17.352 17.352
96 17.5553 17.5549
97 18.2524 18.2318
98 18.4341 18.4304
99 18.6288 18.5988
100 18.7896 18.7999
101 19.0008 19.0015
102 19.1941 19.1929
103 19.3707 19.3708
104 19.5545 19.5587
105 19.7532 19.7529
106 19.9421 19.9413
107 20.1313 20.1276
108 20.3088 20.3054
109 20.5059 20.5054
110 20.6918 20.7081
111 20.8368 20.8443
112 21.0535 21.0574
113 21.8789 21.8673
114 22.0619 22.0611
115 22.2527 22.2511
116 22.4373 22.4411
117 22.6339 22.6316
118 22.8302 22.8342
119 23.0338 23.0332
120 22.534 22.512
121 23.39 23.3904
122 23.5978 23.6054
123 23.7878 23.7322
124 23.9795 23.9847
125 24.2041 24.1982
126 24.3741 24.3746
127 24.5442 24.5448
128 24.7726 24.7434
129 24.9233 24.9523
130 25.1312 25.1319
131 25.3151 25.3069
132 25.5565 25.5619
133 25.7527 25.7508
134 25.9404 25.9408
135 26.1342 26.1349
136 26.3317 26.332
137 26.5175 26.5308
138 26.6641 26.6647
139 26.8713 26.8703
140 27.0802 27.0798
141 27.2856 27.2909
142 27.4347 27.4382
143 27.6533 27.6516
144 27.8688 27.8688
145 28.0218 28.0222
146 28.2515 28.2492
147 28.4026 28.4011
148 28.6308 28.6302
149 28.7939 28.7921
150 29.0078 29.0272
151 29.1911 29.1935
152 29.3958 29.4381
153 29.602 29.55
154 29.7652 29.7589
155 29.9467 29.927
156 30.2004 30.1921
157 30.3716 30.3704
158 30.5416 30.5528
159 30.7198 30.7324
160 30.8937 30.9157
161 28.2127 28.2507
162 28.4122 28.4472
163 28.613 28.602
164 28.7971 28.7774
165 28.9189 28.96
166 29.0296 29.1409
167 29.3073 29.3108
168 29.465 29.4974
169 29.6255 29.5595
170 29.7987 29.8128
171 30.0044 30.0035
172 30.1763 30.1806
173 30.3654 30.3578
174 30.5401 30.5371
175 30.7054 30.6811
176 30.8413 30.8346
177 27.8964 27.8938
178 28.0347 28.0396
179 28.183 28.1946
180 28.343 28.351
181 28.4963 28.4841
182 28.6493 28.6621
183 28.8127 28.8101
184 28.975 28.8142
185 29.1262 29.1219
186 29.2896 29.225
187 29.4517 29.4481
188 29.6139 29.6174
189 29.784 29.7938
190 29.9428 29.9505
191 30.1022 30.1146
192 30.1155 30.124
193 30.3905 30.3842
194 30.5633 30.5538
195 30.7389 30.7309
196 30.9191 30.9112
197 31.0098 31.0019
198 31.1937 31.1807
199 31.3708 31.3822
200 31.4577 31.3098
201 31.6508 31.667
202 31.8281 31.8465
203 31.9273 31.9553
204 32.1438 32.1288
205 32.2529 32.2477
206 32.4467 32.4349
207 32.6422 32.6065
208 32.6404 32.6444
209 32.9384 32.9469
210 33.0365 33.0568
211 33.2468 33.2643
212 33.3399 33.3451
213 33.5645 33.5778
214 33.6853 33.6794
215 33.8978 33.8907
216 34.0103 33.9858
217 34.1483 34.1593
218 34.1706 33.9946
219 34.4618 34.4663
220 34.6605 34.681
221 34.7862 34.8043
222 34.9079 34.9318
223 35.1274 35.1399
224 35.1466 35.1477
225 32.6567 32.6935
226 32.8207 32.794
227 32.9658 32.9481
228 33.0695 33.082
229 33.2725 33.2584
230 33.3825 33.4134
231 33.5173 33.5362
232 33.6688 33.722
233 33.8291 33.8547
234 33.9529 33.9723
235 34.0933 34.0475
236 34.2104 34.1758
237 34.4583 34.4372
238 34.5651 34.5443
239 34.7308 34.7142
240 34.7095 34.6892
241 31.9804 31.9925
242 32.1765 32.1862
