size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
243 32.2821 32.2976
244 32.3755 32.3768
245 32.5736 32.5884
246 32.6892 32.6799
247 32.8023 32.7839
248 32.9875 32.977
249 33.094 33.0936
250 33.2157 33.1943
251 33.3535 33.3577
252 33.4951 33.5131
253 33.6099 33.6211
254 33.7209 33.7406
255 33.8365 33.8552
256 33.8741 33.8811
500 40.3932 40.3653
700 43.6687 43.6615
3434 34.203 34.0254
7128 34.9384 34.9145
13908 35.3704 35.3869
16343 35.3786 35.4192
27897 35.7031 35.701
32344 35.7202 35.7116
46830 33.0087 33.0083
64349 33.1688 33.1678
gdc -O3 -m64 benchmarks.d Dmemset.d -o benchmarks
./benchmarks
