size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
194 30.576 24.2293
195 30.7396 24.1829
196 30.9185 24.1634
197 31.0416 24.1231
198 31.1965 24.0938
199 31.3869 24.0541
200 31.5658 23.9947
201 31.6689 23.9567
202 31.8582 23.9158
203 32.0293 23.8598
204 32.1592 23.8063
205 32.3442 23.7461
206 32.4591 23.7052
207 32.6427 23.6671
208 32.6542 23.602
209 32.9536 23.7088
210 33.0725 23.8201
211 33.2637 23.928
212 33.374 24.0201
213 33.5715 24.1432
214 33.6867 24.2552
215 33.9075 24.3737
216 34.0215 24.4862
217 31.5489 24.6021
218 31.4001 24.6648
219 31.8353 24.838
220 31.9737 24.9531
221 32.1103 25.0704
222 32.2719 25.1908
223 32.4106 25.3146
224 32.3842 25.409
225 32.714 25.3619
226 32.856 25.3214
227 32.9649 25.2944
228 33.1615 25.264
229 33.2769 25.2342
230 33.4288 25.1646
231 33.5422 25.1327
232 33.7396 25.0959
233 30.9838 25.0313
234 31.1581 24.9661
235 31.2521 24.9342
236 31.4377 24.8824
237 31.5301 24.8358
238 31.6245 24.7952
239 31.8047 24.7259
240 31.7427 24.6522
241 32.0923 24.7678
242 32.1915 24.8567
243 32.2723 24.971
244 32.4961 25.0532
245 32.5915 25.1889
246 32.6938 25.3039
247 32.8883 25.3719
248 33.0082 25.4442
249 33.1148 25.5963
250 33.2152 25.687
251 33.4132 25.7985
252 33.5222 25.9009
253 33.6223 25.998
254 33.7592 26.0437
255 33.9574 26.1964
256 33.8859 26.3294
500 40.4142 29.3505
700 43.6674 31.0947
3434 34.5848 41.0108
7128 35.3016 46.339
13908 35.6437 49.1815
16343 35.2323 49.6627
27897 35.8215 50.8177
32344 35.7048 49.2544
46830 33.1754 33.9588
64349 33.2106 34.4944
rdmd -O -inline -m64 --build-only benchmarks.d Dmemset.d
./benchmarks
