size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.270297 0.325142
2 0.43857 0.544721
3 0.657956 0.692711
4 1.01248 0.818402
5 1.26535 0.9079
6 1.51225 0.982877
7 1.77168 1.04325
8 2.0199 1.09271
9 2.27823 1.13404
10 2.53041 1.17163
11 2.7844 1.20566
12 3.03661 1.23234
13 3.29073 1.25784
14 3.54245 1.27929
15 3.79754 1.29906
16 5.26277 1.31494
17 5.58697 3.72863
18 5.92469 3.94879
19 6.25324 4.16132
20 6.58139 4.38705
21 6.90066 4.6069
22 7.23837 4.82597
23 7.56541 5.03715
24 7.89815 5.26429
25 8.21802 5.48345
26 8.55471 5.70166
27 8.88085 5.90973
28 9.21418 6.13116
29 9.54357 6.36221
30 9.8577 6.58176
31 10.2053 6.80089
32 10.5219 7.01868
33 8.351 7.25791
34 8.60494 7.49373
35 8.85959 7.75068
36 9.1138 8.02725
37 9.3665 8.27464
38 9.61342 8.53409
39 9.86871 8.7691
40 10.1262 9.02715
41 10.3758 9.29133
42 10.63 9.54831
43 10.8835 9.84696
44 11.1382 10.065
45 11.3915 10.3348
46 11.6454 10.6463
47 11.8957 10.8862
48 12.1445 11.1676
49 12.4031 11.4282
50 12.6575 11.63
51 12.9071 11.8488
52 13.1662 12.11
53 13.4197 12.3698
54 13.6616 12.5521
55 13.9194 12.8166
56 14.182 13.1138
57 14.4355 13.2309
58 14.678 13.5057
59 14.9301 13.7208
60 15.1894 13.9978
61 15.4354 14.2103
62 15.6903 14.4742
63 15.9464 14.6794
64 16.1987 14.9185
65 11.8824 14.994
66 12.0592 15.0071
67 12.2439 15.1253
68 12.4331 15.1531
69 12.6111 15.2141
70 12.7964 15.2808
71 12.986 15.2759
72 13.166 15.3138
73 13.3518 15.3129
74 13.5229 15.3999
75 13.7187 15.4459
76 13.8995 15.4156
77 14.0865 15.4493
78 14.2592 15.4446
79 14.4351 15.47
80 14.6177 15.4311
81 14.8039 15.6483
82 14.9935 15.855
83 15.1676 16.0376
84 15.3673 16.181
85 15.5484 16.4258
86 15.7131 16.6154
87 15.9043 16.8158
88 16.0919 17.0184
89 16.7548 17.1926
90 16.9312 17.3893
91 17.1225 17.5818
92 17.309 17.7699
93 17.5113 17.9915
94 17.6889 18.1639
95 17.8824 18.36
96 18.0688 18.5528
97 18.2562 18.5856
98 18.4373 18.5745
99 18.6303 18.6105
100 18.8311 18.565
101 19.0005 18.6221
102 19.1941 18.5405
103 19.3698 18.6086
104 19.5685 18.6017
105 20.311 18.5838
106 20.5113 18.5876
107 20.7117 18.5758
108 20.918 18.5446
109 21.0868 18.516
110 21.3013 18.4957
111 21.4759 18.4601
112 21.7 18.4181
113 21.8778 18.5829
114 22.0647 18.7484
115 22.2525 18.9195
116 22.4418 19.0869
117 22.6368 19.2497
118 22.834 19.4091
119 23.0318 19.5707
120 23.224 19.7337
121 23.4443 19.9046
122 23.6023 20.0735
123 23.8198 20.2342
124 23.9856 20.3894
125 24.1994 20.5507
126 24.3754 20.7134
127 24.6013 20.8767
128 24.7756 21.0445
129 24.9542 21.0423
130 25.1916 21.0382
131 25.3762 21.0366
132 25.5606 20.9943
133 25.7498 20.9853
134 25.9407 20.9608
135 26.1374 20.9334
136 26.3326 20.9095
137 26.5309 20.8777
138 26.7348 20.8418
139 26.8783 20.8215
140 27.0799 20.7869
141 27.2909 20.7219
142 27.5082 20.69
143 27.6518 20.6601
144 27.8727 20.5891
145 28.0957 20.7501
146 28.2501 20.8794
147 28.482 21.022
148 28.6313 21.1721
149 28.8716 21.302
150 29.0285 21.4352
151 29.1938 21.6104
152 29.4381 21.742
153 26.871 21.8749
154 27.0314 22.0167
155 27.2249 22.1594
156 27.3927 22.2993
157 27.5651 22.4396
158 27.741 22.5847
159 27.8924 22.7309
160 28.0795 22.8812
161 28.2952 22.8671
162 28.459 22.847
163 28.6395 22.8111
164 28.8007 22.7705
165 28.9968 22.7532
166 29.1534 22.7259
167 29.3533 22.671
168 29.5218 22.6482
169 26.6306 22.6087
170 26.8273 22.5685
171 26.9671 22.5314
172 27.1131 22.4735
173 27.2562 22.4167
174 27.4603 22.3781
175 27.6027 22.3315
176 27.6637 22.2743
177 27.8996 22.394
178 28.0418 22.5354
179 28.1962 22.6346
180 28.3524 22.7836
181 28.4873 22.8821
182 27.9279 22.441
183 28.8813 23.1592
184 29.0381 23.2854
185 29.1394 23.3915
186 29.2969 23.5507
187 29.4552 23.6569
188 29.6258 23.789
189 29.7924 23.9284
190 29.9571 24.0354
191 30.0668 24.0998
192 30.2067 24.3108
193 30.3993 24.2717
