size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.27017 0.273627
2 0.435739 0.435643
3 0.657846 0.657902
4 1.01219 1.01175
5 1.26536 1.26517
6 1.51802 1.51714
7 1.77134 1.77058
8 2.02483 2.02465
9 2.27697 2.2773
10 2.53093 2.53082
11 2.78356 2.78293
12 3.03629 3.03681
13 3.28964 3.28873
14 3.54325 3.54341
15 3.79546 3.7946
16 5.26247 5.2611
17 5.59349 5.59125
18 5.92066 5.91992
19 6.25097 6.24645
20 6.58103 6.5789
21 6.90598 6.90456
22 7.23509 7.23475
23 7.56497 7.55817
24 7.8955 7.89308
25 8.2228 8.22088
26 8.55169 8.55153
27 8.87855 8.87524
28 9.21466 9.20697
29 9.54203 9.54052
30 9.86583 9.86836
31 10.2025 10.2033
32 10.5334 10.5329
33 8.35132 8.35149
34 8.60413 8.60287
35 8.85972 8.85947
36 9.11271 9.11405
37 9.36489 9.36345
38 9.61555 9.61583
39 9.86984 9.86758
40 10.1242 10.1257
41 10.3774 10.3774
42 10.6301 10.6293
43 10.8798 10.8817
44 11.1391 11.1372
45 11.392 11.3917
46 11.6436 11.643
47 11.8965 11.8969
48 12.1449 12.1446
49 12.4002 12.4007
50 12.6578 12.6579
51 12.9074 12.9069
52 13.1646 13.1638
53 13.4206 13.4184
54 13.6645 13.6656
55 13.9161 13.9175
56 14.1744 14.1771
57 14.4365 14.4357
58 14.6785 14.6768
59 14.9279 14.9284
60 15.1899 15.1895
61 15.4338 15.4341
62 15.6875 15.686
63 15.9532 15.9517
64 16.1979 16.2
65 11.8793 11.8817
66 12.0607 12.061
67 12.2433 12.2436
68 12.429 12.4306
69 12.6113 12.6125
70 12.7963 12.7967
71 12.9865 12.9822
72 13.1663 13.1666
73 13.3513 13.3518
74 13.5213 13.5196
75 13.7174 13.7184
76 13.9003 13.9001
77 14.0863 14.0637
78 14.259 14.2604
79 14.4369 14.4366
80 14.6147 14.6164
81 14.8017 14.802
82 14.9933 14.9936
83 15.1642 15.1657
84 15.3673 15.3475
85 15.5495 15.5501
86 15.7128 15.7099
87 15.9025 15.9016
88 16.0979 16.0989
89 16.7542 16.7533
90 16.9253 16.9293
91 17.1251 17.1244
92 17.3102 17.309
93 17.5058 17.5017
94 17.6886 17.6885
95 17.8833 17.8832
96 18.0624 18.0638
97 18.2588 18.2585
98 18.4489 18.4352
99 18.6204 18.6301
100 18.8284 18.8307
101 19.003 18.9998
102 19.1907 19.1863
103 19.3644 19.2912
104 19.569 19.5684
105 20.259 20.2988
106 20.5056 20.5049
107 20.7113 20.7116
108 20.918 20.9058
109 21.0845 21.0871
110 21.3018 21.3013
111 21.4738 21.4682
112 21.6921 21.6972
113 21.8815 21.8779
114 22.0468 22.0558
115 22.2529 22.2509
116 22.4419 22.4423
117 22.6294 22.6332
118 22.8225 22.8285
119 23.0336 23.0338
120 23.2394 23.2341
121 23.4372 23.4312
122 23.6029 23.6046
123 23.8217 23.8183
124 23.9822 23.9594
125 24.1962 24.1984
126 24.3735 24.3737
127 24.5963 24.5858
