size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
128 24.7781 24.7754
129 24.9514 24.9513
130 25.1773 25.138
131 25.3717 25.3723
132 25.5599 25.5614
133 25.7497 25.7375
134 25.9363 25.9398
135 26.1342 26.1386
136 26.3207 26.3336
137 26.5287 26.5216
138 26.7336 26.7369
139 26.8932 26.8593
140 27.08 27.0776
141 27.2906 27.2927
142 27.4964 27.5036
143 27.6507 27.6465
144 27.8697 27.8716
145 28.0971 28.0903
146 28.2493 28.2391
147 28.4772 28.4807
148 28.6309 28.63
149 28.8726 28.8617
150 29.0229 29.0289
151 29.1955 29.1922
152 29.4248 29.4336
153 21.3582 21.3569
154 21.4798 21.4786
155 21.655 21.6473
156 21.7766 21.7808
157 21.9103 21.9083
158 22.0385 22.047
159 22.1901 22.1754
160 22.3459 22.343
161 22.4823 22.4873
162 22.6188 22.6235
163 22.7642 22.7613
164 22.9024 22.8847
165 23.0468 23.0478
166 23.1852 23.1799
167 23.3081 23.3121
168 23.4701 23.4651
169 14.4688 14.4681
170 14.5623 14.5594
171 14.6412 14.6382
172 14.7362 14.7365
173 14.8168 14.8156
174 14.9119 14.9034
175 14.9891 14.9886
176 15.0497 15.0492
177 15.1548 15.1534
178 15.2531 15.2542
179 15.3368 15.3377
180 15.4218 15.4237
181 15.5085 15.5085
182 15.5964 15.5961
183 15.6801 15.6835
184 15.7548 15.7544
185 15.8415 15.842
186 15.9321 15.9323
187 15.9505 15.9095
188 16.0991 16.0957
189 16.18 16.1664
190 16.2704 16.2694
191 16.3543 16.3459
192 16.4139 16.4112
193 16.5102 16.5135
194 16.6106 16.6147
195 16.687 16.6794
196 16.7782 16.7823
197 16.8594 16.8656
198 16.9608 16.9531
199 17.0371 17.0394
200 17.1179 17.1198
201 17.2022 17.1928
202 17.2984 17.3006
203 17.3912 17.3888
204 17.4773 17.4779
205 17.5573 17.5572
206 17.641 17.6429
207 17.722 17.7239
208 17.7849 17.785
209 17.897 17.8946
210 17.9838 17.9847
211 18.0643 18.0673
212 18.1588 18.1524
213 18.2437 18.2416
214 18.3271 18.3286
215 18.427 18.4262
216 18.5124 18.512
217 23.6556 23.7018
218 23.842 23.8442
219 23.9313 23.9325
220 24.0472 24.0508
221 24.1788 24.1708
222 24.267 24.2654
223 24.384 24.3722
224 24.4212 24.3809
225 22.5908 22.5867
226 23.0472 23.049
227 23.5118 23.513
228 23.9932 23.9963
229 24.4485 24.4482
230 24.9301 24.9163
231 25.4032 25.4052
232 25.3607 25.369
233 25.8348 25.8484
234 26.3557 26.3553
235 26.8176 26.8156
236 27.3475 27.3335
237 27.8111 27.8168
238 28.2825 28.2811
239 28.8148 28.8127
240 29.2159 29.2131
241 29.9271 29.9274
242 30.4104 30.4013
243 30.914 30.8827
244 31.477 31.4756
245 31.9525 31.9672
246 32.4707 32.469
247 33.0551 33.0585
248 33.0011 32.9975
249 33.1132 33.114
250 33.2327 33.2187
251 33.404 33.3484
252 33.5227 33.523
253 33.6244 33.63
254 33.8134 33.7431
255 33.954 33.9602
256 33.8794 33.881
500 40.958 40.9291
700 43.6678 43.6734
3434 33.9353 33.9692
7128 34.9153 34.9189
13908 35.4177 35.3747
16343 35.3719 35.3671
27897 35.7075 35.7012
32344 35.7295 35.7165
46830 33.1045 33.0923
64349 33.273 33.2352
ldc2 -O3 -m64 benchmarks.d Dmemset.d
./benchmarks
