size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.266315 0.271297
2 0.437014 0.437052
3 0.655762 0.655488
4 1.00555 1.00958
5 1.26136 1.26135
6 1.51326 1.51248
7 1.76645 1.76641
8 2.01984 2.01637
9 2.27038 2.26965
10 2.52099 2.52251
11 2.77702 2.77184
12 3.01652 3.02845
13 3.28142 3.28068
14 3.53265 3.53223
15 3.78054 3.78677
16 5.24901 5.24638
17 5.57668 5.57436
18 5.89853 5.90385
19 6.22978 6.23323
20 6.5394 6.56212
21 6.89116 6.88094
22 7.21566 7.21597
23 7.54578 7.54303
24 7.8746 7.86849
25 8.20086 8.20143
26 8.52886 8.53053
27 8.87437 8.86304
28 9.20902 9.20563
29 9.5047 9.54021
30 9.86136 9.86099
31 10.1914 10.17
32 10.5221 10.4947
33 8.34627 8.33507
34 8.60257 8.60181
35 8.85821 8.8571
36 9.10945 9.10992
37 9.35939 9.3331
38 9.61488 9.61228
39 9.86893 9.85876
40 10.1188 10.1189
41 10.3766 10.3735
42 10.6265 10.6268
43 10.8746 10.8764
44 11.1322 11.1382
45 11.3902 11.3577
46 11.643 11.6344
47 11.8801 11.8757
48 12.1371 12.1362
49 12.3989 12.3896
50 12.6566 12.6507
51 12.9027 12.9062
52 13.1567 13.1506
53 13.4128 13.3656
54 13.6627 13.6597
55 13.9098 13.9091
56 14.1567 14.1602
57 14.4135 14.4112
58 14.6712 14.665
59 14.9271 14.923
60 15.1862 15.1863
61 15.4258 15.4247
62 15.6359 15.6827
63 15.9438 15.9341
64 16.1798 16.1275
65 11.9029 11.8981
66 12.0987 12.1046
67 12.306 12.3064
68 12.5181 12.5141
69 12.7212 12.7276
70 12.9325 12.8866
71 13.1253 13.1355
72 13.3538 13.3533
73 13.5552 13.556
74 13.7575 13.7629
75 13.9771 13.976
76 14.1851 14.1855
77 14.4051 14.3964
78 14.5784 14.6233
79 14.8288 14.8239
80 15.0339 15.0393
81 14.8236 14.8274
82 15.0445 15.0406
83 15.2317 15.2375
84 15.4459 15.4585
85 15.664 15.6708
86 15.8809 15.8698
87 16.0841 15.8163
88 16.2885 16.2998
89 16.5258 16.525
90 16.7436 16.7503
91 16.9665 16.9697
92 17.173 17.1768
93 17.3905 17.3884
94 17.6252 17.6174
95 17.4998 17.1485
96 18.0589 18.0668
97 17.7659 17.7598
98 17.9747 17.9648
99 18.1943 18.1801
100 18.3917 18.4142
101 18.6018 18.6163
102 18.844 18.8512
103 19.0487 19.0544
104 19.2758 19.2839
105 19.5069 19.4962
106 19.7282 19.7274
107 19.9509 19.9502
108 20.1654 20.1454
109 20.3953 20.3962
110 20.6223 20.6314
111 20.8333 20.8331
112 21.0613 21.0607
113 21.2918 21.3034
114 21.5278 21.5256
115 21.7448 21.7465
116 21.981 21.9826
117 22.2056 22.2054
118 22.4372 22.4336
119 22.6608 22.6699
120 22.8883 22.9102
121 23.1061 23.1139
122 23.3596 23.3584
123 23.5813 23.5246
124 23.8126 23.8156
125 24.0744 24.0747
126 24.2838 24.2867
127 24.5019 24.5005
128 24.7777 24.7752
129 24.8336 24.8329
130 24.8523 24.8644
131 24.8965 24.8984
