size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
141 25.2198 20.7146
142 25.2414 20.6835
143 25.2196 20.649
144 25.2512 20.5857
145 25.3417 20.7527
146 25.329 20.8774
147 25.3438 21.022
148 25.3322 21.164
149 25.3422 21.2917
150 25.3291 21.443
151 25.3259 21.601
152 25.3205 21.7436
153 28.0511 21.8778
154 28.0351 22.0158
155 28.0732 22.1558
156 28.0726 22.2649
157 28.0661 22.4275
158 28.0632 22.5795
159 28.036 22.7243
160 28.0694 22.8734
161 28.1329 22.86
162 28.1014 22.7643
163 28.1 22.8078
164 28.0696 22.7707
165 28.0803 22.7487
166 28.0433 22.7172
167 28.0416 22.6643
168 28.0074 22.6409
169 30.9905 22.5994
170 30.9486 22.5695
171 30.9329 22.5308
172 30.9203 22.4744
173 30.9121 22.4183
174 30.9353 22.364
175 30.9079 22.3246
176 30.8449 22.2635
177 30.9111 22.3898
178 30.8751 22.537
179 30.8463 22.6325
180 30.7859 22.7819
181 30.7448 22.8819
182 30.7181 23.0262
183 30.7249 23.1361
184 30.6811 23.2815
185 30.5772 23.3791
186 30.4991 23.5464
187 30.4694 23.656
188 30.4235 23.7933
189 30.3444 23.8942
190 30.2893 24.0118
191 30.3028 24.1352
192 30.1827 24.2978
193 30.2675 24.2639
194 30.2833 24.2207
195 30.2872 24.1656
196 30.3123 24.1628
197 30.2673 24.1177
198 30.2562 24.0929
199 30.3141 24.0346
200 30.3242 23.9698
201 30.2579 23.9486
202 30.2995 23.9064
203 30.2826 23.8584
204 30.2548 23.8074
205 30.2654 23.7333
206 30.2004 23.7018
207 30.2021 23.6661
208 30.0537 23.5941
209 30.2348 23.7014
210 30.2053 23.8103
211 30.1997 23.9059
212 30.1136 24.0301
213 30.1265 24.1445
214 30.0617 24.2564
215 30.1058 24.3724
216 30.0389 24.4789
217 32.7161 24.5834
218 31.9633 24.4047
219 32.6649 24.8233
220 32.5813 24.9523
221 32.5839 25.0678
222 32.5749 25.1904
223 32.5131 25.3077
224 32.3665 25.4029
225 32.5558 25.3427
226 32.5225 25.2891
227 32.4021 25.2458
228 32.4782 25.2509
229 32.3582 25.232
230 32.362 25.1622
231 32.2635 25.1306
232 32.2914 25.0945
233 31.8432 25.01
234 31.9422 24.9614
235 32.1005 24.9196
236 32.1584 24.8684
237 32.3066 24.8322
238 32.4304 24.7886
239 32.5629 24.7155
240 32.2874 24.6515
241 32.5047 24.7593
242 32.4467 24.8383
243 32.4385 24.9666
244 32.5043 25.0488
245 32.4252 25.1816
246 32.4735 25.3025
247 32.4399 25.3604
248 32.4221 25.4771
249 34.4257 25.592
250 34.3504 25.6691
251 34.3429 25.7854
252 34.2916 25.8931
253 34.1966 25.9859
254 34.1234 26.1111
255 34.1218 26.1884
256 33.857 26.329
500 42.0055 29.3331
700 44.1004 31.0827
3434 33.7103 40.9999
7128 35.3305 46.3336
13908 35.4702 49.0755
16343 35.1248 49.5929
27897 35.7868 50.8079
32344 35.5144 48.6491
46830 33.0798 33.4749
64349 33.2682 34.0089
rdmd -O -inline -m64 --build-only benchmarks.d Dmemset.d
./benchmarks
