size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.259933 0.317892
2 0.438766 0.547331
3 0.658012 0.690869
4 1.01255 0.820705
5 1.2654 0.908856
6 1.51833 0.984775
7 1.7719 1.04436
8 2.02455 1.09377
9 2.27842 1.13338
10 2.53162 1.17321
11 2.78455 1.20527
12 3.03768 1.23245
13 3.2907 1.25793
14 3.54416 1.27896
15 3.7973 1.29903
16 5.26423 1.31636
17 5.59423 3.72963
18 5.92372 3.94877
19 6.25326 4.16876
20 6.57738 4.38271
21 6.90632 4.60666
22 7.23344 4.82544
23 7.56498 5.04496
24 7.89676 5.26284
25 8.22189 5.48298
26 8.5514 5.70286
27 8.88087 5.92336
28 9.20912 6.1431
29 9.54376 6.36184
30 9.86401 6.58129
31 10.2016 6.7975
32 10.5287 7.01998
33 8.34982 7.25398
34 8.60455 7.50837
35 8.85519 7.76428
36 9.10856 7.9866
37 9.36098 8.25801
38 9.60951 8.5222
39 9.86499 8.79588
40 10.126 9.02613
41 10.3745 9.28649
42 10.6229 9.5778
43 10.8794 9.85077
44 11.1379 10.1173
45 11.3914 10.3521
46 11.6393 10.6399
47 11.893 10.9135
48 12.1435 11.1724
49 12.3975 11.4199
50 12.6513 11.6269
51 12.902 11.8625
52 13.1661 12.1172
53 13.4176 12.3072
54 13.6573 12.5559
55 13.9145 12.7723
56 14.1812 13.0751
57 14.4276 13.2556
58 14.6713 13.5221
59 14.9219 13.7337
60 15.1863 14
61 15.4344 14.1989
62 15.683 14.4848
63 15.9455 14.6947
64 16.1921 14.8861
65 11.9038 14.9256
66 12.1056 14.9782
67 12.3061 15.1023
68 12.5202 15.0836
69 12.727 15.2017
70 12.9365 15.1701
71 13.145 15.3343
72 13.3537 15.3253
73 13.5679 15.3678
74 13.7677 15.3217
75 13.9853 15.4274
76 14.1935 15.4226
77 14.4141 15.4651
78 14.627 15.3983
79 14.8402 15.4043
80 15.0494 15.4365
81 15.2669 15.6323
82 15.4818 15.853
83 15.7036 16.0264
84 15.9175 16.1882
85 16.1341 16.4346
86 16.34 16.609
87 16.5676 16.7899
88 16.7988 17.0147
89 16.5443 17.1693
90 16.7483 17.3856
91 16.9636 17.584
92 17.1767 17.7751
93 17.4122 17.9776
94 17.6254 18.1736
95 17.851 18.3417
96 18.061 18.556
97 18.282 18.5816
98 18.5048 18.5749
99 18.714 18.5659
100 18.9612 18.5819
101 19.1734 18.5956
102 19.3934 18.5998
103 19.6041 18.6068
104 19.8325 18.5978
105 19.5014 18.5876
106 19.7269 18.5758
107 19.9407 18.5599
108 20.0222 18.4815
109 20.3868 18.5132
110 20.6201 18.4958
111 20.839 18.4536
112 21.08 18.4099
113 21.3127 18.5723
114 21.5277 18.7422
115 21.7356 18.9157
116 21.9714 19.0887
117 22.1978 19.2482
118 22.4247 19.4079
119 22.6694 19.5694
120 22.9107 19.731
121 23.151 19.8981
122 23.3479 20.0711
123 23.5984 20.2321
124 23.7927 20.3881
125 24.0645 20.5463
126 24.2859 20.7052
127 24.5583 20.8693
128 24.7777 21.0391
129 24.8352 21.0312
130 24.9091 21.0357
131 24.9359 21.0353
132 24.9689 20.9899
133 25.0107 20.9806
134 25.0482 20.9538
135 25.0808 20.9244
136 25.1056 20.8958
137 25.1256 20.8745
138 25.145 20.8263
139 25.1479 20.8208
140 25.1694 20.7863
