size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.265596 0.319317
2 0.435772 0.544375
3 0.654609 0.686896
4 1.00937 0.814127
5 1.25894 0.903503
6 1.50936 0.977642
7 1.76375 1.03862
8 2.01827 1.08561
9 2.27066 1.13292
10 2.51622 1.16878
11 2.77415 1.20155
12 3.02852 1.22534
13 3.2813 1.25381
14 3.5262 1.27285
15 3.78556 1.29451
16 5.2287 1.31253
17 5.56988 3.7048
18 5.90668 3.93607
19 6.21073 4.15487
20 6.55961 4.37024
21 6.87464 4.5831
22 7.21167 4.81345
23 7.53261 5.0111
24 7.87547 5.24719
25 8.19255 5.45098
26 8.52306 5.68615
27 8.85047 5.88451
28 9.18299 6.10483
29 9.51053 6.33654
30 9.81102 6.55662
31 10.1698 6.77894
32 10.4618 6.99507
33 8.31911 7.2415
34 8.57896 7.47435
35 8.82992 7.73693
36 9.08378 7.99881
37 9.33513 8.25779
38 9.58733 8.49334
39 9.84288 8.76439
40 10.0882 9.02014
41 10.3467 9.25864
42 10.5987 9.55756
43 10.8468 9.79674
44 11.1013 10.06
45 11.3585 10.3539
46 11.605 10.5779
47 11.8585 10.8522
48 12.1401 11.1517
49 12.4029 11.4049
50 12.6573 11.6616
51 12.8956 11.9114
52 13.1658 12.1261
53 13.419 12.3114
54 13.6523 12.5813
55 13.9185 12.8585
56 14.1791 13.0478
57 14.4231 13.2781
58 14.6772 13.5311
59 14.9295 13.768
60 15.1897 13.9922
61 15.4357 14.1487
62 15.6895 14.4155
63 15.9469 14.6592
64 16.1997 14.9413
65 11.8815 14.9733
66 12.0497 15.1289
67 12.2443 15.054
68 12.4314 15.1687
69 12.6009 15.1698
70 12.7974 15.2393
71 12.9856 15.2872
72 13.1543 15.3717
73 13.3511 15.3049
74 13.5232 15.3459
75 13.718 15.3863
76 13.8999 15.4087
77 14.0825 15.4446
78 14.2562 15.4452
79 14.4285 15.477
80 14.6174 15.4595
81 14.8022 15.6503
82 14.9792 15.8532
83 15.1661 16.0533
84 15.3676 16.1874
85 15.5346 16.37
86 15.713 16.6177
87 15.9036 16.8188
88 16.0966 17.0084
89 16.7559 17.1791
90 16.9275 17.3904
91 17.1086 17.5897
