size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.270348 0.273247
2 0.43865 0.438404
3 0.657965 0.657914
4 1.01215 1.01188
5 1.26517 1.26493
6 1.51832 1.51767
7 1.77064 1.77138
8 2.0247 2.02453
9 2.27763 2.27723
10 2.53076 2.53098
11 2.78258 2.78311
12 3.0369 3.0371
13 3.28954 3.28866
14 3.5431 3.54238
15 3.79509 3.79631
16 5.2625 5.26087
17 5.59262 5.59018
18 5.92242 5.92142
19 6.25109 6.24947
20 6.58015 6.58007
21 6.90693 6.90448
22 7.23563 7.23419
23 7.56367 7.55729
24 7.8941 7.89403
25 8.22377 8.22184
26 8.55113 8.55035
27 8.87915 8.87652
28 9.21523 9.21071
29 9.53862 9.53871
30 9.86778 9.86626
31 10.205 10.2052
32 10.5325 10.5333
33 8.35166 8.35143
34 8.60421 8.60566
35 8.85911 8.85806
36 9.11147 9.11245
37 9.36555 9.36621
38 9.61562 9.6145
39 9.86738 9.86921
40 10.1265 10.1265
41 10.377 10.3773
42 10.6272 10.6285
43 10.8838 10.8835
44 11.1232 11.1185
45 11.3452 11.344
46 11.6045 11.604
47 11.8746 11.8721
48 12.1282 12.1392
49 12.3754 12.369
50 12.6374 12.6353
51 12.9054 12.9075
52 13.1666 13.165
53 13.4193 13.4198
54 13.6621 13.6613
55 13.9192 13.919
56 14.1819 14.1819
57 14.4362 14.4339
58 14.6793 14.6784
59 14.9298 14.9302
60 15.1882 15.1863
61 15.396 15.4042
62 15.6707 15.6728
63 15.951 15.9505
64 16.1981 16.1983
65 11.8822 11.8758
66 12.0463 12.0531
67 12.237 12.2405
68 12.4252 12.4223
69 12.6106 12.6118
70 12.7953 12.7953
71 12.9866 12.9706
72 13.165 13.1582
73 13.3502 13.3468
74 13.5203 13.5218
75 13.7182 13.7003
76 13.886 13.8829
77 14.0861 14.0677
78 14.2592 14.2598
79 14.4306 14.4346
80 14.6179 14.6177
81 14.8037 14.8025
82 14.9916 14.9926
83 15.1675 15.1677
84 15.3668 15.3462
85 15.55 15.5177
86 15.7039 15.7061
87 15.9013 15.8997
88 16.0957 16.0729
89 16.7561 16.7552
90 16.9232 16.9072
91 17.1163 17.1214
92 17.3019 17.2944
93 17.4901 17.4838
94 17.6801 17.6864
95 17.882 17.868
96 18.0687 18.0668
97 18.2566 18.2585
98 18.4261 18.447
99 18.6285 18.6269
100 18.8182 18.8273
101 19.0005 18.9959
102 19.1944 19.1932
103 19.3698 19.3703
104 19.5579 19.5682
105 20.3099 20.3102
106 20.5105 20.5103
107 20.6919 20.7054
108 20.8144 20.7977
109 21.0566 21.0565
110 21.2682 21.2614
111 21.434 21.4466
112 21.6275 21.6686
113 21.8519 21.8317
114 21.9953 22.037
115 22.2227 22.214
116 22.4039 22.4092
117 22.598 22.5921
118 22.799 22.8017
119 23.0011 22.9902
120 23.2 23.2131
121 23.3709 23.4037
122 23.5669 23.5612
123 23.7889 23.7726
124 23.9817 23.9781
125 24.2032 24.1974
126 24.3733 24.3684
127 24.6016 24.6018
128 24.7751 24.7758
129 24.9441 24.9537
130 25.1284 25.1838
131 25.3763 25.3759
132 25.5615 25.5507
133 25.7489 25.7526
134 25.9424 25.9404
135 26.1335 26.1279
136 26.3213 26.3317
137 26.5302 26.5299
138 26.7325 26.7045
139 26.8721 26.9009
140 27.0793 27.0804
141 27.2803 27.2894
142 27.4822 27.4906
143 27.6276 27.6378
144 27.8662 27.8602
145 28.0898 28.096
146 28.2254 28.2465
147 28.4735 28.4551
148 28.6241 28.6275
149 28.801 28.7903
150 29.0183 29.0289
151 29.1941 29.1895
152 29.4358 29.4389
153 26.8708 26.8639
154 27.0315 27.0242
155 27.2193 27.2204
156 27.3877 27.3958
157 27.558 27.5634
158 27.7414 27.741
159 27.8881 27.903
160 28.0777 28.0661
161 28.2892 28.2876
162 28.4572 28.4556
163 28.6331 28.6336
164 28.8029 28.8061
165 28.9951 28.9945
166 29.1457 29.1539
167 29.35 29.3486
168 29.5192 29.5221
169 26.6132 26.6177
170 26.8292 26.8284
171 26.9693 26.9681
172 27.1017 27.1133
173 27.2563 27.2488
174 27.4571 27.4598
175 27.6014 27.5897
176 27.6625 27.6648
177 27.898 27.8993
178 28.0345 28.0454
179 28.1976 28.1964
180 28.3444 28.3515
181 28.5078 28.5004
182 28.7094 28.6777
183 28.8797 28.8746
184 29.0483 29.0338
185 29.1884 29.1709
186 29.2909 29.2984
187 29.459 29.453
188 29.6133 29.6168
189 29.7939 29.7941
190 29.9552 29.9447
191 30.1261 30.1238
192 30.1982 30.2
193 30.399 30.3973
194 30.5649 30.5759
195 30.74 30.745
196 30.921 30.9162
197 31.1017 31.075
198 31.1948 31.1909
199 31.3828 31.3829
200 31.5556 31.5422
201 31.6684 31.6692
202 31.8619 31.8569
203 32.0365 32.0327
204 32.1608 32.1579
205 32.3404 32.3404
206 32.4526 32.4459
207 32.6438 32.6409
208 32.654 32.6556
209 32.9454 32.9519
210 33.1117 33.0807
211 33.256 33.2564
212 33.4113 33.3827
213 33.5817 33.5734
214 33.7133 33.6938
215 33.9152 33.9118
216 34.0105 34.0161
217 31.5431 31.5438
218 31.5619 31.6006
219 31.833 31.825
220 31.975 31.975
221 32.119 32.1197
222 32.2664 32.2593
223 32.4008 32.4082
224 32.4232 32.4089
225 33.9086 33.9256
226 33.888 33.8898
227 33.8267 33.8237
228 33.8653 33.8494
229 33.7933 33.7924
230 33.7615 33.7576
231 33.6542 33.6937
232 33.741 33.7373
233 33.6852 33.6831
234 33.6459 33.6469
235 33.5845 33.5786
236 33.5968 33.5969
237 33.5261 33.518
238 33.4442 33.4336
239 33.4333 33.4303
240 33.2132 33.216
241 33.3831 33.3886
242 33.3067 33.3139
243 33.0534 33.1316
244 33.1448 33.1245
245 33.0495 33.0658
246 33.0231 32.9888
247 32.9068 33.0073
248 32.9521 32.9557
249 33.0044 33.0425
250 33.1585 33.1848
251 33.3446 33.2944
252 33.4663 33.4818
253 33.575 33.4958
254 33.7919 33.6568
255 33.8766 33.9258
256 33.8173 33.7696
500 40.9195 40.8688
700 43.5289 43.5991
3434 34.1256 34.1106
7128 35.3554 35.3155
13908 35.5789 35.6004
16343 35.0855 35.0984
27897 35.6689 35.6545
32344 35.4755 35.548
46830 33.0616 33.0503
64349 33.2433 33.2323
ldc2 -O3 -m64 benchmarks.d Dmemset.d
./benchmarks
