size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.269512 0.269865
2 0.438609 0.438651
3 0.65752 0.657442
4 1.01241 1.01211
5 1.26529 1.26438
6 1.51794 1.51793
7 1.77076 1.77054
8 2.02428 2.02428
9 2.27684 2.27824
10 2.5309 2.53072
11 2.78296 2.7834
12 3.0375 3.037
13 3.28864 3.2888
14 3.54396 3.54188
15 3.79501 3.79623
16 5.2612 5.26303
17 5.5937 5.5923
18 5.9233 5.9209
19 6.25151 6.24994
20 6.58026 6.57997
21 6.90924 6.90557
22 7.23709 7.23541
23 7.5631 7.56532
24 7.89443 7.89634
25 8.22555 8.22368
26 8.55361 8.55035
27 8.87711 8.88061
28 9.20958 9.20348
29 9.54272 9.54083
30 9.85398 9.85293
31 10.1946 10.201
32 10.5107 10.5274
33 8.34719 8.34854
34 8.60147 8.60463
35 8.85642 8.8582
36 9.11173 9.10815
37 9.35936 9.36393
38 9.61448 9.6067
39 9.86675 9.86234
40 10.1248 10.1235
41 10.372 10.3749
42 10.6265 10.6224
43 10.8806 10.8788
44 11.1389 11.1319
45 11.386 11.3889
46 11.642 11.6421
47 11.8955 11.8894
48 12.1432 12.1377
49 12.3975 12.4033
50 12.6531 12.6501
51 12.9065 12.8981
52 13.1623 13.1635
53 13.4105 13.418
54 13.6552 13.6619
55 13.895 13.8951
56 14.1804 14.1744
57 14.428 14.4322
58 14.6694 14.6792
59 14.9235 14.9276
60 15.187 15.1793
61 15.4264 15.4314
62 15.6828 15.6898
63 15.9411 15.9524
64 16.1876 16.1949
65 11.9024 11.9009
66 12.1051 12.1001
67 12.3035 12.3087
68 12.5207 12.521
69 12.7259 12.7154
70 12.936 12.9319
71 13.1469 13.1365
72 13.3528 13.3588
73 13.3465 13.343
74 13.5199 13.5166
75 13.7129 13.7004
76 13.8861 13.8888
77 14.0739 14.045
78 14.2591 14.2513
79 14.4321 14.4286
80 14.6084 14.6171
81 14.8243 14.8268
82 15.0418 15.041
83 15.2504 15.2479
84 15.4711 15.4577
85 15.6834 15.6692
86 15.8791 15.8854
87 16.1082 16.1032
88 16.3319 16.3067
89 16.2714 16.2655
90 16.444 16.4528
91 16.6317 16.6262
92 16.8209 16.8099
93 17.0134 16.9804
94 17.1794 17.1724
95 17.3745 17.3458
96 17.017 17.0167
97 17.7656 17.756
98 17.9645 17.9685
99 18.1905 18.1896
100 18.4223 18.4182
101 18.6209 18.621
102 18.8535 18.854
103 19.0589 19.058
104 19.2946 19.2898
105 19.7535 19.7531
106 19.9397 19.9401
107 20.1292 20.13
108 20.3293 20.3287
109 20.5054 20.504
110 20.7093 20.7055
111 20.8924 20.8722
112 21.0773 21.0841
113 21.3104 21.3131
114 21.5237 21.5272
115 21.7571 21.745
116 21.9821 21.9805
117 22.177 22.1782
118 22.4314 22.4299
119 22.6627 22.6704
120 22.9085 22.9071
121 23.4445 23.4443
122 23.6019 23.6024
123 23.8186 23.8164
124 23.9801 23.9851
